puzzle_id,dataset,domain,s1_correct,s1_parse_success,s1_tokens,s1_latency_ms,switch_escalated,switch_confidence,switch_complexity,switch_tokens,switch_latency_ms,switch_label
lsat_56,LSAT-AR,SAT,True,True,2144,2732.4953000061214,False,10,N/A,926,1525.1201000064611,TN
logicbench_propositional_logic_modus_tollens_4,LogicBench,SAT,True,True,367,636.2054999917746,False,10,N/A,1040,1560.3282999945804,TN
logicbench_propositional_logic_modus_tollens_16,LogicBench,SAT,True,True,297,573.8221000065096,False,10,N/A,815,1244.1807999857701,TN
satbench_558,SATBench,SATBench,True,True,3800,2691.114599991124,False,10,N/A,1318,2080.0153999589384,TN
1-hamburger-0843,PuzzleClone,PuzzleClone,False,False,7961,8623.936299991328,True,8,N/A,1770,63350.826999987476,TP
45-sister-0944,PuzzleClone,PuzzleClone,False,True,7201,7404.919799999334,True,6,N/A,1643,62852.46070002904,TP
lsat_2,LSAT-AR,SAT,True,True,1417,1641.4167999755591,False,10,N/A,1035,6489.542700001039,TN
satbench_1878,SATBench,SATBench,False,True,3987,66499.06350002857,False,10,N/A,1486,2299.9607999809086,FN
45-sister-0208,PuzzleClone,PuzzleClone,False,True,11371,10449.058700003661,True,8,N/A,1109,64586.195400042925,TP
logicbench_first_order_logic_existential_generalization_5,LogicBench,SAT,True,True,512,789.8327999864705,False,8,N/A,1095,1717.2870999784209,TN
lsat_217,LSAT-AR,SAT,True,True,2525,2852.8208999778144,False,10,N/A,1011,61939.4076000317,TN
aspbench_62_drug_interaction,ASPBench,ASPBench,True,True,2888,3631.2231000047177,False,10,N/A,972,1504.323299974203,TN
aspbench_26_tower_of_hanoi,ASPBench,ASPBench,False,True,8285,8595.220700022765,True,0,N/A,1463,63828.07230000617,TP
aspbench_31_network_flow,ASPBench,ASPBench,True,True,7776,6766.229300003033,False,8,N/A,2397,63350.03139998298,TN
aspbench_04_blocks_world,ASPBench,ASPBench,False,True,6541,5904.495800030418,False,10,N/A,1458,64176.60170001909,FN
satbench_717,SATBench,SATBench,True,True,2250,2275.55050002411,False,10,N/A,1163,1621.5713000274263,TN
logicbench_non_monotonic_logic_reasoning_about_exceptions_2_12,LogicBench,SAT,True,True,1188,1740.0761999888346,True,0,N/A,1351,62440.72369998321,FP
46-elevator-0767,PuzzleClone,PuzzleClone,True,True,12864,7970.761000004131,False,10,N/A,1669,63013.60389997717,TN
folio_3,FOLIO,NLI,True,True,1543,61788.11670001596,False,10,N/A,1075,1796.2859999970533,TN
satbench_416,SATBench,SATBench,True,True,1507,970.4173000063747,False,10,N/A,1189,1452.442100038752,TN
lsat_94,LSAT-AR,SAT,True,True,1599,2057.466399972327,False,10,N/A,1240,1689.4150000298396,TN
folio_116,FOLIO,NLI,True,True,1673,2115.2070999960415,False,10,N/A,1403,2066.829100018367,TN
aspbench_14_cryptarithmetic,ASPBench,ASPBench,True,True,4485,3791.388699959498,False,10,N/A,1399,63422.590099973604,TN
logicbench_propositional_logic_commutation_13,LogicBench,SAT,True,True,451,734.5609000185505,False,10,N/A,820,1306.1536999884993,TN
53-daughter-0059,PuzzleClone,PuzzleClone,True,True,1561,1376.9260999979451,False,10,N/A,1054,1256.8019999889657,TN
folio_28,FOLIO,NLI,True,True,1000,1253.8133999914862,False,10,N/A,885,1470.7274999818765,TN
lsat_151,LSAT-AR,SAT,True,True,3215,3470.0880000018515,False,10,N/A,929,2909.1622999985702,TN
satbench_1346,SATBench,SATBench,True,True,3185,2034.1472000000067,False,10,N/A,1037,62027.834600012284,TN
folio_7,FOLIO,NLI,True,True,509,798.3336000470445,False,10,N/A,715,1267.8679999662563,TN
folio_44,FOLIO,NLI,True,True,1282,1198.9809999940917,False,10,N/A,1133,1476.84079996543,TN
